timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687838939.596907,669,0,"(69.07408142089844, 61.005001068115234, 497.6059875488281)","(69.07408142089844, 61.005001068115234, 497.6059875488281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.605469,669,0,"(69.62007141113281, 61.185420989990234, 497.5553894042969)","(69.62007141113281, 61.185420989990234, 497.5553894042969)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6140041,669,0,"(70.14952850341797, 61.36547088623047, 497.43499755859375)","(70.14952850341797, 61.36547088623047, 497.43499755859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.62229,669,0,"(70.62743377685547, 61.52351760864258, 497.2611083984375)","(70.62743377685547, 61.52351760864258, 497.2611083984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6302927,669,0,"(71.0470199584961, 61.66387176513672, 497.0150146484375)","(71.0470199584961, 61.66387176513672, 497.0150146484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.638699,669,0,"(71.40601348876953, 61.817108154296875, 496.7245178222656)","(71.40601348876953, 61.817108154296875, 496.7245178222656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6472943,669,0,"(71.69007873535156, 61.99030685424805, 496.4227600097656)","(71.69007873535156, 61.99030685424805, 496.4227600097656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6555214,669,0,"(71.91053771972656, 62.174461364746094, 496.1026916503906)","(71.91053771972656, 62.174461364746094, 496.1026916503906)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.663771,669,0,"(72.07530212402344, 62.36320114135742, 495.7629699707031)","(72.07530212402344, 62.36320114135742, 495.7629699707031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6723094,669,0,"(72.18672180175781, 62.56013488769531, 495.4359436035156)","(72.18672180175781, 62.56013488769531, 495.4359436035156)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6804514,669,0,"(72.28897094726562, 62.771114349365234, 495.1447448730469)","(72.28897094726562, 62.771114349365234, 495.1447448730469)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.688837,669,0,"(72.365966796875, 62.981971740722656, 494.8716125488281)","(72.365966796875, 62.981971740722656, 494.8716125488281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.6971023,669,0,"(72.42334747314453, 63.19245529174805, 494.5849304199219)","(72.42334747314453, 63.19245529174805, 494.5849304199219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7052796,669,0,"(72.4437484741211, 63.403629302978516, 494.3380126953125)","(72.4437484741211, 63.403629302978516, 494.3380126953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7140853,669,0,"(72.43467712402344, 63.61978530883789, 494.0977783203125)","(72.43467712402344, 63.61978530883789, 494.0977783203125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838939.7219768,669,0,"(72.36407470703125, 63.81610870361328, 493.8658142089844)","(72.36407470703125, 63.81610870361328, 493.8658142089844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
