timestamp,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data,found_marker_id,found_marker_index,found_marker_data
1687833246.8460636,"(-8.48159408569336, 50.525020599365234, 538.2115478515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.48159408569336, 50.525020599365234, 538.2115478515625)"
1687833246.8544111,"(-8.524097442626953, 49.85743713378906, 537.9339599609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.524097442626953, 49.85743713378906, 537.9339599609375)"
1687833246.863344,"(-8.521645545959473, 49.21375274658203, 537.6746826171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.521645545959473, 49.21375274658203, 537.6746826171875)"
1687833246.8710728,"(-8.47311019897461, 48.59832763671875, 537.4743041992188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.47311019897461, 48.59832763671875, 537.4743041992188)"
1687833246.8793588,"(-8.37463665008545, 47.99988555908203, 537.3173217773438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.37463665008545, 47.99988555908203, 537.3173217773438)"
1687833246.8875017,"(-8.208650588989258, 47.41030502319336, 537.1951293945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-8.208650588989258, 47.41030502319336, 537.1951293945312)"
1687833246.8960278,"(-7.968536853790283, 46.82972717285156, 537.1228637695312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.968536853790283, 46.82972717285156, 537.1228637695312)"
1687833246.904468,"(-7.662756443023682, 46.27330780029297, 537.0773315429688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.662756443023682, 46.27330780029297, 537.0773315429688)"
1687833246.9126687,"(-7.310917377471924, 45.75312805175781, 537.0938720703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-7.310917377471924, 45.75312805175781, 537.0938720703125)"
1687833246.9210982,"(-6.896349906921387, 45.25505065917969, 537.138427734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-6.896349906921387, 45.25505065917969, 537.138427734375)"
1687833246.9297717,"(-6.427740573883057, 44.79793930053711, 537.2105102539062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-6.427740573883057, 44.79793930053711, 537.2105102539062)"
1687833246.9378827,"(-5.903385639190674, 44.39680099487305, 537.3308715820312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-5.903385639190674, 44.39680099487305, 537.3308715820312)"
1687833246.9457989,"(-5.298175811767578, 44.04435729980469, 537.4931030273438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-5.298175811767578, 44.04435729980469, 537.4931030273438)"
1687833246.9544206,"(-4.611657619476318, 43.735076904296875, 537.695556640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",668,0,"(-4.611657619476318, 43.735076904296875, 537.695556640625)"
1687833246.9631755,"(0, 0, 0)","(-3.8440351486206055, 43.32272720336914, 537.6392211914062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(-3.8440351486206055, 43.32272720336914, 537.6392211914062)"
1687833246.9711225,"(0, 0, 0)","(-3.0529565811157227, 43.09581756591797, 537.8530883789062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(-3.0529565811157227, 43.09581756591797, 537.8530883789062)"
1687833246.97944,"(0, 0, 0)","(-2.260432243347168, 42.94099807739258, 538.0777587890625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(-2.260432243347168, 42.94099807739258, 538.0777587890625)"
1687833246.987939,"(0, 0, 0)","(-1.503800392150879, 42.86395263671875, 538.3045043945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(-1.503800392150879, 42.86395263671875, 538.3045043945312)"
1687833246.9964035,"(0, 0, 0)","(-0.7925718426704407, 42.86022186279297, 538.5198364257812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(-0.7925718426704407, 42.86022186279297, 538.5198364257812)"
1687833247.004388,"(0, 0, 0)","(-0.12323369830846786, 42.941524505615234, 538.73876953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(-0.12323369830846786, 42.941524505615234, 538.73876953125)"
1687833247.0128124,"(0, 0, 0)","(0.5497044324874878, 43.091129302978516, 538.9351196289062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(0.5497044324874878, 43.091129302978516, 538.9351196289062)"
1687833247.0210044,"(0, 0, 0)","(1.224830150604248, 43.31156921386719, 539.1279296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(1.224830150604248, 43.31156921386719, 539.1279296875)"
1687833247.0295422,"(0, 0, 0)","(1.9189424514770508, 43.60358810424805, 539.2843627929688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(1.9189424514770508, 43.60358810424805, 539.2843627929688)"
1687833247.0378711,"(0, 0, 0)","(2.620253801345825, 43.95781707763672, 539.4356079101562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(2.620253801345825, 43.95781707763672, 539.4356079101562)"
1687833247.0464232,"(0, 0, 0)","(3.32978892326355, 44.37482452392578, 539.5836791992188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(3.32978892326355, 44.37482452392578, 539.5836791992188)"
1687833247.0541866,"(0, 0, 0)","(4.025282382965088, 44.855281829833984, 539.7283935546875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(4.025282382965088, 44.855281829833984, 539.7283935546875)"
1687833247.062824,"(0, 0, 0)","(4.67041540145874, 45.38991928100586, 539.8955688476562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(4.67041540145874, 45.38991928100586, 539.8955688476562)"
1687833247.0711873,"(0, 0, 0)","(5.275335788726807, 45.976192474365234, 540.0786743164062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(5.275335788726807, 45.976192474365234, 540.0786743164062)"
1687833247.0792012,"(0, 0, 0)","(5.812368869781494, 46.58736038208008, 540.2762451171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(5.812368869781494, 46.58736038208008, 540.2762451171875)"
1687833247.0879848,"(0, 0, 0)","(6.301295280456543, 47.20832061767578, 540.4608764648438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(6.301295280456543, 47.20832061767578, 540.4608764648438)"
1687833247.0964375,"(0, 0, 0)","(6.720080375671387, 47.82235336303711, 540.648681640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",669,1,"(6.720080375671387, 47.82235336303711, 540.648681640625)"
1687833247.104497,"(0, 0, 0)","(0, 0, 0)","(6.834843158721924, 48.494789123535156, 540.9443969726562)","(0, 0, 0)","(0, 0, 0)",670,2,"(6.834843158721924, 48.494789123535156, 540.9443969726562)"
1687833247.1124904,"(0, 0, 0)","(0, 0, 0)","(7.099661827087402, 49.08268737792969, 541.087646484375)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.099661827087402, 49.08268737792969, 541.087646484375)"
1687833247.1212769,"(0, 0, 0)","(0, 0, 0)","(7.308594703674316, 49.67401885986328, 541.2316284179688)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.308594703674316, 49.67401885986328, 541.2316284179688)"
1687833247.1294734,"(0, 0, 0)","(0, 0, 0)","(7.482318878173828, 50.23858642578125, 541.3766479492188)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.482318878173828, 50.23858642578125, 541.3766479492188)"
1687833247.1379993,"(0, 0, 0)","(0, 0, 0)","(7.629162311553955, 50.79563903808594, 541.5523071289062)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.629162311553955, 50.79563903808594, 541.5523071289062)"
1687833247.1463678,"(0, 0, 0)","(0, 0, 0)","(7.742358207702637, 51.3055534362793, 541.729248046875)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.742358207702637, 51.3055534362793, 541.729248046875)"
1687833247.1544251,"(0, 0, 0)","(0, 0, 0)","(7.830428123474121, 51.77846145629883, 541.91943359375)","(0, 0, 0)","(0, 0, 0)",670,2,"(7.830428123474121, 51.77846145629883, 541.91943359375)"
